year,month_num,month,cash_in,cash_out,net_cash,is_partial
2024,1,2024-01,40137.9,46553.2,-6415.3,False
2024,2,2024-02,36367.08,29629.37,6737.71,False
2024,3,2024-03,36766.09,44820.12,-8054.03,False
2024,4,2024-04,38880.18,38813.63,66.55,False
2024,5,2024-05,36912.86,30531.26,6381.6,False
2024,6,2024-06,28374.87,27799.43,575.44,False
2024,7,2024-07,46147.87,43411.01,2736.86,False
2024,8,2024-08,33984.15,41873.87,-7889.72,False
2024,9,2024-09,40628.55,42705.75,-2077.2,False
2024,10,2024-10,38923.46,40348.2,-1424.74,False
2024,11,2024-11,54703.55,51315.93,3387.62,False
2024,12,2024-12,39059.22,50254.62,-11195.4,False
2025,1,2025-01,30782.18,43467.83,-12685.65,False
2025,2,2025-02,45146.71,37438.43,7708.28,False
2025,3,2025-03,41937.88,36763.72,5174.16,False
2025,4,2025-04,46233.06,52752.0,-6518.94,False
2025,5,2025-05,37228.54,37081.91,146.63,False
2025,6,2025-06,33695.73,38624.25,-4928.52,False
2025,7,2025-07,50981.08,37392.75,13588.33,False
2025,8,2025-08,32248.25,36678.05,-4429.8,False
2025,9,2025-09,49319.23,40115.75,9203.48,False
2025,10,2025-10,33052.79,38541.41,-5488.62,False
2025,11,2025-11,32075.67,46195.45,-14119.78,False
2025,12,2025-12,63797.35,54231.97,9565.38,False
2026,1,2026-01,36827.12,39599.18,-2772.06,False
2026,2,2026-02,27007.94,39228.22,-12220.28,False
2026,3,2026-03,54065.91,37083.55,16982.36,False
2026,4,2026-04,37101.66,16124.01,20977.65,True
